iter	Passed	Remaining
981	24336	446
982	24361	421
983	24396	396
984	24424	371
985	24451	347
986	24480	322
987	24505	297
988	24528	272
989	24558	248
990	24585	223
991	24609	198
992	24633	173
993	24655	148
994	24679	124
995	24703	99
996	24732	74
997	24760	49
998	24786	24
999	24815	0
